DATE,ATNHPIUS34980Q_20210831,ATNHPIUS34980Q_20211130
1979-07-01,50.59,50.58
1979-10-01,50.62,50.61
1980-01-01,51.72,51.71
1980-04-01,50.17,50.15
1980-07-01,53.21,53.24
1980-10-01,52.12,52.47
1981-01-01,50.26,50.28
1981-04-01,55.19,55.25
1981-07-01,59.89,59.9
1981-10-01,49.57,49.51
1982-01-01,58.22,58.21
1982-04-01,57.61,57.63
1982-07-01,59.25,59.27
1982-10-01,55.23,55.23
1983-01-01,59.94,59.96
1983-04-01,61.04,61.05
1983-07-01,61.09,61.11
1983-10-01,62.43,62.45
1984-01-01,62.7,62.75
1984-04-01,65.36,65.37
1984-07-01,65.8,65.81
1984-10-01,67.3,67.31
1985-01-01,68.53,68.63
1985-04-01,69.36,69.38
1985-07-01,70.13,70.15
1985-10-01,71.65,71.69
1986-01-01,73.56,73.58
1986-04-01,74.56,74.58
1986-07-01,76.33,76.32
1986-10-01,78.17,78.18
1987-01-01,80.21,80.2
1987-04-01,81.59,81.62
1987-07-01,81.23,81.27
1987-10-01,82.58,82.58
1988-01-01,82.75,82.76
1988-04-01,83.75,83.76
1988-07-01,83.77,83.73
1988-10-01,83.18,83.18
1989-01-01,82.93,82.93
1989-04-01,83.76,83.76
1989-07-01,83.55,83.55
1989-10-01,83.32,83.32
1990-01-01,83.76,83.76
1990-04-01,83.28,83.26
1990-07-01,82.88,82.88
1990-10-01,83.25,83.25
1991-01-01,83.43,83.43
1991-04-01,83.53,83.52
1991-07-01,83.82,83.83
1991-10-01,84.38,84.38
1992-01-01,85.28,85.27
1992-04-01,85.24,85.24
1992-07-01,86.78,86.78
1992-10-01,86.74,86.74
1993-01-01,86.9,86.9
1993-04-01,88.39,88.4
1993-07-01,89.68,89.66
1993-10-01,91.03,91.03
1994-01-01,92.5,92.5
1994-04-01,95.33,95.33
1994-07-01,97.25,97.25
1994-10-01,98.14,98.13
1995-01-01,100.00,100.00
1995-04-01,102.1,102.09
1995-07-01,103.68,103.68
1995-10-01,105.55,105.55
1996-01-01,107.64,107.64
1996-04-01,108.93,108.94
1996-07-01,110.07,110.08
1996-10-01,111.4,111.4
1997-01-01,113.38,113.37
1997-04-01,114.77,114.76
1997-07-01,116.11,116.13
1997-10-01,117.65,117.63
1998-01-01,119.48,119.48
1998-04-01,120.65,120.64
1998-07-01,122.38,122.36
1998-10-01,123.9,123.88
1999-01-01,124.6,124.59
1999-04-01,125.26,125.26
1999-07-01,125.79,125.77
1999-10-01,126.46,126.44
2000-01-01,127.56,127.54
2000-04-01,128.14,128.13
2000-07-01,129.98,129.97
2000-10-01,131.09,131.08
2001-01-01,133.94,133.93
2001-04-01,134.53,134.51
2001-07-01,135.27,135.26
2001-10-01,136.71,136.69
2002-01-01,137.61,137.59
2002-04-01,137.87,137.85
2002-07-01,139.66,139.65
2002-10-01,140.72,140.71
2003-01-01,141.25,141.23
2003-04-01,142.44,142.41
2003-07-01,143.47,143.45
2003-10-01,145.02,145
2004-01-01,146.18,146.15
2004-04-01,147.84,147.81
2004-07-01,150.53,150.5
2004-10-01,152.7,152.66
2005-01-01,154.46,154.44
2005-04-01,158.19,158.17
2005-07-01,161.42,161.39
2005-10-01,164.85,164.81
2006-01-01,167.95,167.94
2006-04-01,172.54,172.51
2006-07-01,175.43,175.38
2006-10-01,178.95,178.91
2007-01-01,180.81,180.78
2007-04-01,183,182.94
2007-07-01,183.97,183.92
2007-10-01,184.89,184.83
2008-01-01,185.59,185.54
2008-04-01,185.51,185.47
2008-07-01,182.45,182.38
2008-10-01,183.77,183.71
2009-01-01,183.86,183.81
2009-04-01,181.45,181.4
2009-07-01,176.28,176.2
2009-10-01,175.22,175.14
2010-01-01,173.89,173.83
2010-04-01,173.29,173.25
2010-07-01,175.03,174.95
2010-10-01,174.27,174.24
2011-01-01,169.71,169.67
2011-04-01,168.98,168.92
2011-07-01,169.99,169.97
2011-10-01,170.54,170.5
2012-01-01,169.47,169.43
2012-04-01,169.2,169.14
2012-07-01,171.6,171.56
2012-10-01,172.07,172
2013-01-01,173.16,173.13
2013-04-01,176.04,175.98
2013-07-01,178.18,178.08
2013-10-01,180.94,180.85
2014-01-01,183.6,183.48
2014-04-01,188.42,188.35
2014-07-01,191.3,191.23
2014-10-01,194.27,194.11
2015-01-01,197.71,197.7
2015-04-01,202.49,202.43
2015-07-01,207.86,207.8
2015-10-01,210.16,210.13
2016-01-01,215.06,215.04
2016-04-01,221.65,221.52
2016-07-01,226.3,226.31
2016-10-01,231.05,230.95
2017-01-01,236.11,236.03
2017-04-01,242.4,242.22
2017-07-01,248.2,248.16
2017-10-01,252.02,251.87
2018-01-01,257.41,257.22
2018-04-01,263.79,263.55
2018-07-01,268.03,267.86
2018-10-01,271.05,270.84
2019-01-01,274.07,274
2019-04-01,278.31,278.07
2019-07-01,282.35,282.1
2019-10-01,284.99,284.87
2020-01-01,290.2,289.58
2020-04-01,292.39,292.3
2020-07-01,299,298.52
2020-10-01,304.63,304.83
2021-01-01,312.08,312.28
2021-04-01,330.87,331.52
2021-07-01,.,355.17
