id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,30,674,2020-03-02,6.66,1,152,0,
25613,Room in Historic East Nashville Craftsman Home,95811,Nell,,District 6,36.17826,-86.74162,Private room,75,2,510,2020-03-14,5.26,1,282,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,60,1,265,2021-10-02,6.12,1,230,4,
258817,ButterflyRoom-private bath- open in oct,22296,Diana,,District 12,36.16249,-86.58988,Private room,29,30,96,2019-12-14,1.12,7,306,0,
289242,"MorningstarHouse, monthly room- open sept",22296,Diana,,District 12,36.16102,-86.59207,Private room,28,30,76,2019-01-12,0.64,7,355,0,
319705,"SuperSweetSTUDIO, jacuzzi, monthly",22296,Diana,,District 12,36.16296,-86.59187,Private room,39,30,48,2020-07-03,0.41,7,312,0,
340081,"MorningstarHouse, monthly single room- open soon!",22296,Diana,,District 12,36.16128,-86.58986,Private room,28,30,77,2018-05-23,0.66,7,325,0,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,90,1,261,2021-10-19,6.25,1,302,30,
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,96,2,873,2021-10-05,16.92,4,40,99,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths Hot tub & Patio!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,264,2,439,2021-10-07,4.44,4,230,23,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.27,1,82,0,
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,157,2,356,2021-10-13,11.88,4,48,72,
645985,Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,28,30,49,2021-06-01,0.52,2,196,2,
648088,Heart of Music Row  Private Suite (600 sq FT),3250769,Robyn,,District 19,36.1447,-86.79014,Private room,130,2,398,2021-10-10,6.57,1,352,19,
674159,"A Clean, Quiet Suite in a Great Neighborhood!",3422455,John,,District 6,36.17242,-86.73742,Entire home/apt,142,3,280,2021-09-20,2.66,1,319,22,
681880,Luxurious Rustic Cozy Guesthouse,3471162,Tiffany,,District 7,36.21628,-86.70935,Entire home/apt,89,2,560,2020-07-05,5.36,1,25,0,
747429,Downtown Great Getaway,2066370,Lisa,,District 21,36.18276,-86.80296,Entire home/apt,292,2,62,2021-08-22,0.94,2,204,5,
914787,Stay Near Downtown Nashville!,4910520,Amy,,District 19,36.1754,-86.78193,Entire home/apt,237,1,274,2021-10-17,2.63,5,356,1,
980344,Downstairs/Midweek only Designer Home n Music City,441439,Angela,,District 24,36.144,-86.82827,Private room,250,2,1,2018-03-21,0.02,4,70,0,
1006989,Private Carriage House,1896384,John And Mike,,District 6,36.17509,-86.73581,Entire home/apt,95,2,487,2021-10-16,7.93,1,133,57,
1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,,District 7,36.21235,-86.70461,Entire home/apt,106,3,216,2021-10-17,3.25,1,19,16,
1039298,Hotel-quality Two-bedroom Suite,5721539,Alyce,,District 7,36.2249,-86.72295,Entire home/apt,79,2,81,2020-03-23,1.48,1,109,0,
1130166,Private Suite in University Area,6201847,Cally And  Ken,,District 17,36.122,-86.78844,Entire home/apt,85,2,407,2021-09-05,7.59,1,0,35,
1206512,Designer's Home in Belmont/12South,3759875,Alayna,,District 18,36.12609,-86.79663,Entire home/apt,600,4,25,2021-08-31,0.26,1,324,2,
1209395,Music Row Apartment and/or Recording Studio!,6604593,Michael,,District 19,36.14883,-86.79629,Entire home/apt,115,3,177,2021-10-03,7.72,1,336,11,
1300670,Valentino's Retreat,119023,Dana,,District 10,36.32114,-86.72644,Entire home/apt,135,2,61,2021-10-04,4.37,1,330,19,
1340955,Heart of East Nashville Bungalow,7040278,J.Wes,,District 5,36.18199,-86.75237,Entire home/apt,225,2,444,2020-03-15,5.21,2,190,0,
1376970,East Nashville private duplex apt,387150,Kristina,,District 7,36.18945,-86.72531,Entire home/apt,89,30,138,2020-10-15,1.43,2,114,0,
1428018,Take Time out by the Private Lake at Our Urban Oasis,7679962,Cathryne & David,,District 6,36.17574,-86.72014,Private room,115,2,278,2021-10-18,3.16,1,347,18,
