SOLD DATE,Street,CITY,Zipcode,PRICE,Bedroom_x,Bathroom_x,sqft_x,Latitude,Longitude,Address,Price,Bedroom_y,Bathroom_y,sqft_y,Sold,latitude,longitude,City
April-20-2021,627 Skyview Dr,Nashville,37206.0,400000.0,3.0,1.0,1704.0,36.1800263,-86.7314414,,,,,,,,,
April-20-2021,627 Skyview Dr,Nashville,37206.0,400000.0,3.0,1.0,1704.0,36.1800263,-86.7314414,,,,,,,,,
May-12-2021,1613 Jacksons Valley Pl,Hermitage,37076.0,361000.0,3.0,2.0,1895.0,36.188682,-86.6039739,,,,,,,,,
May-12-2021,1613 Jacksons Valley Pl,Hermitage,37076.0,361000.0,3.0,2.0,1895.0,36.188682,-86.6039739,,,,,,,,,
June-3-2021,2076 Stanford Village Dr,Antioch,37013.0,336000.0,3.0,2.5,1641.0,36.0215742,-86.6890057,,,,,,,,,
June-3-2021,2076 Stanford Village Dr,Antioch,37013.0,336000.0,3.0,2.5,1641.0,36.0215742,-86.6890057,,,,,,,,,
June-21-2021,1827 Cephas St,Nashville,37208.0,460000.0,3.0,2.0,1779.0,36.1820588,-86.8065578,"1827 Cephas St, Nashville, TN 37208","$460,000",3,2,"1,779",Sold 06/21/2021,,, Nashville
June-21-2021,1827 Cephas St,Nashville,37208.0,460000.0,3.0,2.0,1779.0,36.1820588,-86.8065578,"1827 Cephas St, Nashville, TN 37208","$460,000",3,2,"1,779",Sold 06/21/2021,,, Nashville
August-5-2021,7620 Staffordshire Dr,Nashville,37221.0,475000.0,3.0,2.5,1843.0,36.0640803,-86.9716672,,,,,,,,,
August-5-2021,7620 Staffordshire Dr,Nashville,37221.0,475000.0,3.0,2.5,1843.0,36.0640803,-86.9716672,,,,,,,,,
August-20-2021,189 53rd Ave N,Nashville,37209.0,425000.0,2.0,1.0,993.0,36.1453429,-86.8510314,,,,,,,,,
August-20-2021,189 53rd Ave N,Nashville,37209.0,425000.0,2.0,1.0,993.0,36.1453429,-86.8510314,,,,,,,,,
July-9-2021,159 Tusculum Rd,Antioch,37013.0,250000.0,2.0,1.0,1024.0,36.0535182,-86.6911305,,,,,,,,,
July-9-2021,159 Tusculum Rd,Antioch,37013.0,250000.0,2.0,1.0,1024.0,36.0535182,-86.6911305,,,,,,,,,
February-23-2021,1414 Timber Valley Dr,Nashville,37214.0,230000.0,5.0,2.0,1872.0,36.1291096,-86.6377663,,,,,,,,,
February-23-2021,1414 Timber Valley Dr,Nashville,37214.0,230000.0,5.0,2.0,1872.0,36.1291096,-86.6377663,,,,,,,,,
,518 E Maple St,Madison,37115.0,184830.0,2.0,1.0,757.0,36.26124,-86.7020859,,,,,,,,,
,518 E Maple St,Madison,37115.0,184830.0,2.0,1.0,757.0,36.26124,-86.7020859,,,,,,,,,
August-27-2021,702 Ries Ave,Nashville,37209.0,325000.0,3.0,1.0,912.0,36.1602809,-86.8727828,,,,,,,,,
August-27-2021,702 Ries Ave,Nashville,37209.0,325000.0,3.0,1.0,912.0,36.1602809,-86.8727828,,,,,,,,,
May-14-2021,850 Kirkwood Ave Unit B,Nashville,37204.0,289900.0,2.0,1.0,864.0,36.120882,-86.78221,,,,,,,,,
May-14-2021,850 Kirkwood Ave Unit B,Nashville,37204.0,289900.0,2.0,1.0,864.0,36.120882,-86.78221,,,,,,,,,
April-16-2021,2120 Lebanon Pike #104,Nashville,37210.0,230000.0,3.0,2.5,1452.0,36.1635806,-86.7026493,,,,,,,,,
April-16-2021,2120 Lebanon Pike #104,Nashville,37210.0,230000.0,3.0,2.5,1452.0,36.1635806,-86.7026493,,,,,,,,,
May-27-2021,4807 Tennessee Ave Unit A,Nashville,37209.0,650000.0,3.0,2.5,2262.0,36.1607649,-86.8458959,,,,,,,,,
May-27-2021,4807 Tennessee Ave Unit A,Nashville,37209.0,650000.0,3.0,2.5,2262.0,36.1607649,-86.8458959,,,,,,,,,
September-23-2021,5756 Brentwood Trce,Brentwood,37027.0,230000.0,2.0,1.0,992.0,36.039459,-86.775522,,,,,,,,,
September-23-2021,5756 Brentwood Trce,Brentwood,37027.0,230000.0,2.0,1.0,992.0,36.039459,-86.775522,,,,,,,,,
June-4-2021,5137 Highlander Dr,Antioch,37013.0,277000.0,3.0,2.0,1320.0,36.0582949,-86.6565038,,,,,,,,,
June-4-2021,5137 Highlander Dr,Antioch,37013.0,277000.0,3.0,2.0,1320.0,36.0582949,-86.6565038,,,,,,,,,
February-26-2021,598 Hill Creek Dr,Nashville,37211.0,345000.0,4.0,2.0,1799.0,36.0628772,-86.7360385,,,,,,,,,
February-26-2021,598 Hill Creek Dr,Nashville,37211.0,345000.0,4.0,2.0,1799.0,36.0628772,-86.7360385,,,,,,,,,
July-2-2021,7529 Kemberton Ct,Nolensville,37135.0,305000.0,3.0,2.5,1744.0,35.9894109,-86.678243,,,,,,,,,
July-2-2021,7529 Kemberton Ct,Nolensville,37135.0,305000.0,3.0,2.5,1744.0,35.9894109,-86.678243,,,,,,,,,
January-15-2021,889 Pin Oak Dr,Antioch,37013.0,265000.0,3.0,2.0,1515.0,36.0510904,-86.5897606,,,,,,,,,
