id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,30,674,2020-03-03,4.62,1,204
25613,Room in Historic East Nashville Craftsman Home,95811,Nell,,District 6,36.17826,-86.74162,Private room,75,2,510,2020-03-14,3.81,1,125
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,60,1,262,2020-10-25,4.68,2,152
258817,ButterflyRoom-private bath- open May 16,22296,Diana,,District 12,36.16249,-86.58988,Private room,29,30,96,2019-12-14,0.84,7,343
289242,"MorningstarHouse, monthly room- open may 1",22296,Diana,,District 12,36.16102,-86.59207,Private room,28,30,76,2019-01-12,0.67,7,357
319705,"SuperSweetSTUDIO, jacuzzi, monthly",22296,Diana,,District 12,36.16296,-86.59187,Private room,31,30,48,2020-07-03,0.43,7,356
340081,"MorningstarHouse, monthly single room- open soon!",22296,Diana,,District 12,36.16128,-86.58986,Private room,24,30,77,2020-08-31,0.69,7,362
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,89,1,236,2021-04-18,2.19,1,326
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.27,1,363
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,142,1,320,2021-04-20,3.02,2,32
645985,Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,27,30,47,2019-10-01,0.45,2,48
648088,Heart of Music Row  Private Suite (600 sq FT),3250769,Robyn,,District 19,36.1447,-86.79014,Private room,125,2,379,2020-10-19,3.61,1,322
674159,"A Clean, Quiet Suite in a Great Neighborhood!",3422455,John,,District 6,36.17242,-86.73742,Entire home/apt,142,2,269,2021-04-17,2.66,1,353
