id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,30,674,2020-03-02,6.79,1,244,0,
25613,Room in Historic East Nashville Craftsman Home,95811,Nell,,District 6,36.17826,-86.74162,Private room,75,2,510,2020-03-14,5.37,1,227,0,
65448,"Nashville Loft - Downtown, Walk to Honky-Tonks!",319913,Reservations,,District 19,36.16544,-86.77579,Entire home/apt,153,2,36,2020-01-02,0.53,31,164,0,
258817,ButterflyRoom-private bath- open sept 17,22296,Diana,,District 12,36.16249,-86.58988,Private room,29,30,96,2019-12-14,1.15,7,326,0,
289242,"MorningstarHouse, monthly room- open June 15",22296,Diana,,District 12,36.16102,-86.59207,Private room,28,30,76,2019-01-12,0.65,7,345,0,
319705,"SuperSweetSTUDIO, jacuzzi, monthly",22296,Diana,,District 12,36.16296,-86.59187,Private room,31,30,48,2020-07-03,0.41,7,326,0,
329997,A+ Cottage & private courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,89,2,1080,2021-08-20,18.60,7,0,127,
340081,"MorningstarHouse, monthly single room- open soon!",22296,Diana,,District 12,36.16128,-86.58986,Private room,24,30,77,2018-05-23,0.67,7,317,1,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,90,1,253,2021-08-06,6.36,1,292,24,
421290,Private Entry Studio Suite/King/Wetbar/DT 5 min,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,94,2,868,2021-08-18,8.99,7,18,87,
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,90,2,860,2021-08-16,17.35,7,21,107,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths Hot tub & Patio!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,255,2,434,2021-08-17,4.48,7,286,18,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.27,1,22,0,
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,144,2,343,2021-08-17,12.28,7,29,71,
645985,Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,27,30,49,2021-06-01,0.53,2,169,2,
648088,Heart of Music Row  Private Suite (600 sq FT),3250769,Robyn,,District 19,36.1447,-86.79014,Private room,125,2,392,2021-08-09,6.69,1,321,14,
674159,"A Clean, Quiet Suite in a Great Neighborhood!",3422455,John,,District 6,36.17242,-86.73742,Entire home/apt,150,3,277,2021-08-09,2.68,1,291,24,
681880,Luxurious Rustic Cozy Guesthouse,3471162,Tiffany,,District 7,36.21628,-86.70935,Entire home/apt,89,2,560,2020-07-05,5.46,1,74,0,
747429,Downtown Great Getaway,2066370,Lisa,,District 21,36.18276,-86.80296,Entire home/apt,292,2,61,2021-06-21,0.95,2,197,5,
980344,Downstairs/Midweek only Designer Home n Music City,441439,Angela,,District 24,36.144,-86.82827,Private room,250,2,1,2018-03-21,0.02,4,59,0,
1006989,Private Carriage House,1896384,John And Mike,,District 6,36.17509,-86.73581,Entire home/apt,95,2,479,2021-08-17,8.06,1,121,57,
1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,,District 7,36.21235,-86.70461,Entire home/apt,101,3,209,2021-08-09,3.24,1,14,10,
1039298,Hotel-quality Two-bedroom Suite,5721539,Alyce,,District 7,36.2249,-86.72295,Entire home/apt,79,2,81,2020-03-23,1.54,1,48,0,
1130166,Private Suite in University Area,6201847,Cally And  Ken,,District 17,36.122,-86.78844,Entire home/apt,89,2,405,2021-08-15,7.84,1,239,38,
