id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,30,674,2020-03-02,6.92,1,269
25613,Room in Historic East Nashville Craftsman Home,95811,Nell,,District 6,36.17826,-86.74162,Private room,75,2,510,2020-03-14,5.48,1,169
258817,ButterflyRoom-private bath- open June 16,22296,Diana,,District 12,36.16249,-86.58988,Private room,29,30,96,2019-12-14,1.18,7,269
289242,"MorningstarHouse, monthly room- open June 15",22296,Diana,,District 12,36.16102,-86.59207,Private room,28,30,76,2019-01-12,0.66,7,316
319705,"SuperSweetSTUDIO, jacuzzi, monthly",22296,Diana,,District 12,36.16296,-86.59187,Private room,31,30,48,2020-07-03,0.42,7,292
340081,"MorningstarHouse, monthly single room- open soon!",22296,Diana,,District 12,36.16128,-86.58986,Private room,24,30,77,2018-05-23,0.68,7,299
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,95,1,244,2021-06-22,6.44,1,294
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,97,2,843,2021-06-20,17.69,4,20
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths Hot tub & Patio!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,307,2,426,2021-06-21,4.49,4,291
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.28,1,87
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,156,2,333,2021-06-17,12.79,4,41
645985,Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,27,30,49,2021-06-01,0.54,2,109
648088,Heart of Music Row  Private Suite (600 sq FT),3250769,Robyn,,District 19,36.1447,-86.79014,Private room,121,2,385,2021-06-14,6.79,1,316
