SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-31-2020,Single Family Residential,5325 Overton Rd,Nashville,TN,37220,551900,4,2.5,Haileywood Estates,2415,21780,1969,,229,,Sold,,,https://www.redfin.com/TN/Nashville/5325-Overton-Rd-37220/home/103663031,REALTRACS,2165041,N,Y,36.0570569,-86.7632806
PAST SALE,July-24-2020,Single Family Residential,3034 Ewingdale Dr,Nashville,TN,37207,243900,3,2.5,Brookview,2033,6534,2005,,120,18,Sold,,,https://www.redfin.com/TN/Nashville/3034-Ewingdale-Dr-37207/home/108014966,REALTRACS,2158062,N,Y,36.2345668,-86.7932941
PAST SALE,February-26-2021,Single Family Residential,106 Spero Rd,Goodlettsville,TN,37072,260000,3,2.0,Blair Manor,1700,41382,1963,,153,,Sold,,,https://www.redfin.com/TN/Goodlettsville/106-Spero-Rd-37072/home/108052162,REALTRACS,2213084,N,Y,36.2894108,-86.7270395
PAST SALE,August-26-2021,Townhouse,513 Almonte Ct,Nashville,TN,37215,810000,3,3.5,The Hillsborough,3194,1742,1986,,254,488,Sold,,,https://www.redfin.com/TN/Nashville/513-Almonte-Ct-37215/home/60659120,REALTRACS,2274756,N,Y,36.0917619,-86.8292703
PAST SALE,October-11-2019,Single Family Residential,512 Cody Hill Ct,Nashville,TN,37211,309000,3,2.5,Bradford Hills,2584,,1993,,120,10,Sold,,,https://www.redfin.com/TN/Nashville/512-Cody-Hill-Ct-37211/home/108012542,REALTRACS,2072025,N,Y,36.025157,-86.721592
PAST SALE,June-29-2020,Single Family Residential,2521 Jones Ave,Nashville,TN,37207,330000,3,2.0,Joywood Heights,1360,13068,1955,,243,,Sold,,,https://www.redfin.com/TN/Nashville/2521-Jones-Ave-37207/home/60802089,REALTRACS,2154022,N,Y,36.2119541,-86.7562898
PAST SALE,January-15-2021,Single Family Residential,889 Pin Oak Dr,Antioch,TN,37013,265000,3,2.0,Hallmark,1515,5227,2018,,175,,Sold,,,https://www.redfin.com/TN/Antioch/889-Pin-Oak-Dr-37013/unit-187/home/144425702,REALTRACS,2214575,N,Y,36.0510904,-86.5897606
PAST SALE,March-1-2021,Single Family Residential,2914 Susan Dr,Nashville,TN,37214,264000,2,1.0,Cloverhill,792,10890,1953,,333,,Sold,,,https://www.redfin.com/TN/Nashville/2914-Susan-Dr-37214/home/108124975,REALTRACS,2216281,N,Y,36.1595968,-86.6551761
PAST SALE,September-11-2020,Single Family Residential,7516 Old Harding Pike,Nashville,TN,37221,360000,3,2.0,River Plantation,2034,13939,1988,,177,35,Sold,,,https://www.redfin.com/TN/Nashville/7516-Old-Harding-Pike-37221/home/108090209,REALTRACS,2175217,N,Y,36.062685,-86.9428154
PAST SALE,November-1-2019,Single Family Residential,5232 Almadale Cir,Brentwood,TN,37027,492500,5,3.5,Brownstone,3229,11325,2001,,153,30,Sold,,,https://www.redfin.com/TN/Brentwood/5232-Almadale-Cir-37027/home/105524178,REALTRACS,2074022,N,Y,36.0351535,-86.754542
PAST SALE,December-20-2019,Single Family Residential,1314 Greenwood Ave,Nashville,TN,37206,481150,4,2.0,Grissim & Blackman,1906,9583,1940,,252,,Sold,,,https://www.redfin.com/TN/Nashville/1314-Greenwood-Ave-37206/home/60809867,REALTRACS,2094341,N,Y,36.189797,-86.742452
PAST SALE,May-8-2020,Single Family Residential,2050 Elliott Ave,Nashville,TN,37204,415000,2,2.5,Waverly Place II Townhomes,1333,435,2005,,311,195,Sold,,,https://www.redfin.com/TN/Nashville/2050-Elliott-Ave-37204/home/108017028,REALTRACS,2133853,N,Y,36.1308716,-86.7804881
PAST SALE,May-14-2021,Condo/Co-op,850 Kirkwood Ave Unit B,Nashville,TN,37204,289900,2,1.0,Kirkwood Glen,864,871,1959,,336,220,Sold,,,https://www.redfin.com/TN/Nashville/850-Kirkwood-Ave-37204/unit-B/home/101643885,REALTRACS,2242674,N,Y,36.120882,-86.78221
PAST SALE,May-7-2020,Single Family Residential,709 Hayling Ct,Hermitage,TN,37076,237900,3,2.0,Wembley Downs,1332,3920,1992,,179,19,Sold,,,https://www.redfin.com/TN/Hermitage/709-Hayling-Ct-37076/home/104202443,REALTRACS,2137238,N,Y,36.2209045,-86.5999354
PAST SALE,June-3-2021,Single Family Residential,2076 Stanford Village Dr,Antioch,TN,37013,336000,3,2.5,Stanford Village,1641,9147,2001,,205,25,Sold,,,https://www.redfin.com/TN/Antioch/2076-Stanford-Village-Dr-37013/home/108098604,REALTRACS,2249303,N,Y,36.0215742,-86.6890057
PAST SALE,June-26-2020,Single Family Residential,2624 Avery Park Dr,Nashville,TN,37211,285000,3,2.5,Lenox Village,1544,2613,2008,,185,138,Sold,,,https://www.redfin.com/TN/Nashville/2624-Avery-Park-Dr-37211/home/108108010,REALTRACS,2153418,N,Y,36.0195087,-86.7017787
PAST SALE,May-4-2020,Condo/Co-op,2506 Vaulx Ln,Nashville,TN,37204,690000,3,2.5,Townhomes At 2504 Vaulx Av,2135,1742,2012,,323,,Sold,,,https://www.redfin.com/TN/Nashville/2506-Vaulx-Ln-37204/home/108112824,REALTRACS,2135844,N,Y,36.1245514,-86.7812323
PAST SALE,May-22-2020,Townhouse,227B Orlando Ave,Nashville,TN,37209,325000,2,2.5,Orlando Place,1340,,2002,,243,151,Sold,,,https://www.redfin.com/TN/Nashville/227B-Orlando-Ave-37209/home/105435761,REALTRACS,2142555,N,Y,36.14716,-86.856827
PAST SALE,September-15-2021,Multi-Family (2-4 Unit),2504 Mcginnis Dr,Nashville,TN,37216,375000,4,2.0,Moss Rose Estates,1920,10454,1979,,195,,Sold,,,https://www.redfin.com/TN/Nashville/2504-McGinnis-Dr-37216/home/108078390,REALTRACS,2279515,N,Y,36.2005087,-86.7012057
PAST SALE,September-28-2021,Townhouse,8207 Sawyer Brown Rd Unit G2,Nashville,TN,37221,245000,2,1.5,River Plantation,1152,435,1972,,213,260,Sold,,,https://www.redfin.com/TN/Nashville/8207-Sawyer-Brown-Rd-37221/unit-G2/home/108114788,REALTRACS,2284075,N,Y,36.0750471,-86.9479915
PAST SALE,August-27-2021,Single Family Residential,702 Ries Ave,Nashville,TN,37209,325000,3,1.0,Moss Wood,912,8276,1960,,356,,Sold,,,https://www.redfin.com/TN/Nashville/702-Ries-Ave-37209/home/101096944,REALTRACS,2277242,N,Y,36.1602809,-86.8727828
PAST SALE,February-26-2021,Single Family Residential,598 Hill Creek Dr,Nashville,TN,37211,345000,4,2.0,Candlestick Farms,1799,19602,1965,,192,,Sold,,,https://www.redfin.com/TN/Nashville/598-Hill-Creek-Dr-37211/home/60845692,REALTRACS,2211213,N,Y,36.0628772,-86.7360385
PAST SALE,January-10-2020,Condo/Co-op,1505B 61st Ave N,Nashville,TN,37209,399900,3,3.0,1505 61st Avenue North Hom,1984,,2018,,202,,Sold,,,https://www.redfin.com/TN/Nashville/1505B-61st-Ave-N-37209/home/144920723,REALTRACS,2089148,N,Y,36.1661646,-86.8603854
