Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"536 Wesley Ave, Nashville, TN 37207","$340,000",2,1,978,Sold 12/17/2021
"3528 Paragon Dr, Nashville, TN 37211","$580,000",4,3,"2,391",Sold 12/17/2021
,,,,,
"4002 Burrus St, Nashville, TN 37216","$551,000",3,3,"1,886",Sold 12/17/2021
"9721 Katz Ln, Brentwood, TN 37027","$584,820",4,3,"2,653",Sold 12/17/2021
"6040 Hill Circle Dr, Nashville, TN 37209",$1.28M,4,4,"3,758",Sold 12/17/2021
"849 Cherokee Ave #9, Nashville, TN 37207","$480,000",3,4,"1,802",Sold 12/17/2021
"2828 Blackwood Dr, Nashville, TN 37214","$365,000",3,2,"1,220",Sold 12/17/2021
"3408 Cobble St, Nashville, TN 37211","$426,510",3,2,"2,220",Sold 12/17/2021
"3752 Priest Lake Dr, Nashville, TN 37217","$389,439",3,3,"1,878",Sold 12/17/2021
"209 Ben Alex Ct, Antioch, TN 37013","$455,000",4,3,"2,291",Sold 12/16/2021
"1412 Laurel Oak Dr, Antioch, TN 37013","$299,000",3,2,"1,105",Sold 12/16/2021
"3924 Hoggett Ford Rd, Hermitage, TN 37076","$310,000",2,3,"1,216",Sold 12/16/2021
"743 Cottage Park Dr, Nashville, TN 37207","$519,000",3,3,"2,232",Sold 12/16/2021
"1510 Demonbreun St APT 1003, Nashville, TN 37203","$459,000",1,1,995,Sold 12/16/2021
"1241 McGavock Pike, Nashville, TN 37216","$700,000",4,4,"3,600",Sold 12/16/2021
"533 Summit Oaks Ct, Nashville, TN 37221","$665,000",5,5,"4,341",Sold 12/16/2021
"2109 23rd Ave N #C, Nashville, TN 37208","$565,000",3,4,"2,236",Sold 12/16/2021
"1429 Ocoee Trl, Madison, TN 37115","$315,000",3,2,"1,182",Sold 12/16/2021
"650 Hadley Village Blvd, Old Hickory, TN 37138","$226,400",2,3,"1,278",Sold 12/16/2021
"1429 Stainback Ave, Nashville, TN 37207","$740,000",4,3,"2,794",Sold 12/16/2021
"1125 10th Ave N #310, Nashville, TN 37208","$409,900",1,1,784,Sold 12/16/2021
"810 Bellevue Rd APT 233, Nashville, TN 37221","$158,000",2,2,"1,067",Sold 12/16/2021
"133 Parker Dr, Antioch, TN 37013","$386,465",3,2,"1,860",Sold 12/15/2021
"1077 E Trinity Ln UNIT 108, Nashville, TN 37216","$454,500",2,2,"1,230",Sold 12/15/2021
"1260 Beech Hollow Dr, Nashville, TN 37211","$775,000",4,4,"4,178",Sold 12/15/2021
"4112 Tree Haven Pl, Antioch, TN 37013","$350,940",4,3,"2,548",Sold 12/15/2021
"4116 Tree Haven Pl, Antioch, TN 37013","$329,335",4,3,"2,099",Sold 12/15/2021
"816 Gwynn Dr, Nashville, TN 37216","$685,000",3,2,"2,464",Sold 12/15/2021
"1367 Rosedale Ct, Nashville, TN 37207","$315,000",3,1,"1,604",Sold 12/15/2021
"530 Meade Ave, Nashville, TN 37207","$549,900",3,3,"1,816",Sold 12/15/2021
"23 Fern Ave, Nashville, TN 37207",$1.65M,3,4,"3,744",Sold 12/15/2021
"2525 Pennington Bend Rd, Nashville, TN 37214","$297,000",2,1,"1,063",Sold 12/15/2021
"1517 Straightway Ave, Nashville, TN 37206","$630,000",3,2,"1,580",Sold 12/15/2021
"2601 Call Hill Rd, Nashville, TN 37211","$450,000",3,3,"2,160",Sold 12/15/2021
"3217 Cobble St, Nashville, TN 37211","$500,000",3,3,"2,592",Sold 12/15/2021
"5115 Brucewood Dr, Nashville, TN 37211","$475,000",3,2,"2,177",Sold 12/15/2021
"4325 W Hamilton Rd, Nashville, TN 37218","$395,000",4,2,"1,811",Sold 12/14/2021
"303 Nawakwa Trl, Madison, TN 37115","$450,000",4,3,"2,554",Sold 12/14/2021
"2245 Berrywood Rd, Nashville, TN 37216","$395,000",2,1,968,Sold 12/14/2021
"96 Peachtree St, Nashville, TN 37210","$260,000",4,2,"1,259",Sold 12/14/2021
"2067 Nashboro Blvd, Nashville, TN 37217","$208,000",3,3,"1,656",Sold 12/14/2021
"235 Colt Dr, Nashville, TN 37221","$321,000",3,1,"1,308",Sold 12/14/2021
"14184 Old Hickory Blvd, Antioch, TN 37013","$330,000",3,2,"2,210",Sold 12/14/2021
"493 Broadwell Dr, Nashville, TN 37220","$580,000",4,4,"2,700",Sold 12/14/2021
"5424 Heather Ln, Brentwood, TN 37027",$1.06M,3,4,"3,897",Sold 12/14/2021
"5961 Colchester Dr, Hermitage, TN 37076","$310,000",3,2,"1,350",Sold 12/13/2021
"517 Albany Dr, Hermitage, TN 37076","$420,000",5,3,"2,583",Sold 12/13/2021
"2603 Brittany Ct, Nashville, TN 37206","$534,000",3,2,"1,500",Sold 12/13/2021
"1820 Dahlia Dr, Nashville, TN 37210","$289,000",2,1,792,Sold 12/13/2021
"4005 Aberdeen Rd, Nashville, TN 37205",$1.01M,3,2,"2,233",Sold 12/13/2021
"2008 Bakers Grove Ln, Hermitage, TN 37076","$376,240",3,2,"1,542",Sold 12/13/2021
"3317 Milbridge Dr, Antioch, TN 37013","$350,000",3,2,"1,838",Sold 12/13/2021
"313 Townes Dr, Nashville, TN 37211","$360,000",4,3,"2,000",Sold 12/13/2021
"120 Montcastle Ct, Nashville, TN 37221","$650,000",3,3,"3,026",Sold 12/13/2021
