"address/city","address/community","address/neighborhood","address/state","address/streetAddress","address/subdivision","address/zipcode","bathrooms","bedrooms","currency","description","homeStatus","latitude","livingArea","longitude","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","photos/50","photos/51","photos/52","photos/53","photos/54","photos/55","photos/56","photos/57","photos/58","photos/59","photos/60","price","url","yearBuilt"
"Nashville",,,"TN","956 Beech Bend Dr",,"37221","2","2","USD","Must See Charming Bellevue Home! Granite counters, tiled baths, hardwoods throughout, built-ins & walk-in closets! Spacious backyard perfect for entertaining and extra parking.","FOR_SALE","36.054302","1172","-86.94316","https://photos.zillowstatic.com/fp/911ec5f8cb2feffd0dda2e391706234f-p_f.jpg","https://photos.zillowstatic.com/fp/871e73e360264ac62a6e9ee9b400bb50-p_f.jpg","https://photos.zillowstatic.com/fp/07c17131f926f0304349b51f64968434-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"375000","https://www.zillow.com/homedetails/956-Beech-Bend-Dr-Nashville-TN-37221/41191063_zpid/","1983"
"Nashville",,,"TN","505-505A Waycross Dr",,"37211","4","4","USD","Do NOT miss this stunning contemporary ""home on a hill"" in the hottest new quiet urban neighborhood with amazing downtown & MLS soccer stadium views. Next to We-Ho, the universities and 1.5 miles to downtown w/o highway. Two amazing balconies, a wall of collapsing doors off the great room, gorgeous sand & finish hardwoods in entire home (tile baths), back deck for grilling, 4 large bedrooms, 4 full baths, huge utility/mud room, high ceilings, glorious gas fireplace wall and stunning master suite & bath. Large 2 car garage with extra tall ceilings, tankless water heater & more. Will have its own driveway and fenced back yard that will be seed/strawed + small landscaping package in front.","FOR_SALE","36.125816","2679","-86.76115","https://photos.zillowstatic.com/fp/a179439ec6657e879a014fd4cbeea265-p_f.jpg","https://photos.zillowstatic.com/fp/378849e09cb9e306b43a0364f880b1f5-p_f.jpg","https://photos.zillowstatic.com/fp/fa63083dda87d3d73e1991053b07fd47-p_f.jpg","https://photos.zillowstatic.com/fp/761fd7875b96690a13135a6dbdae13b1-p_f.jpg","https://photos.zillowstatic.com/fp/f23222129d79f1d6a04f1c6b68773a0a-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"850000","https://www.zillow.com/homedetails/505-505A-Waycross-Dr-Nashville-TN-37211/2067069367_zpid/","2022"
"Madison",,,"TN","310 Farris Ave",,"37115","1","3","USD","Beautiful Professional Renovation of Charming Mid-Century Cottage, on.44 Acre level lot. Stainless Appliances, Tile Back Splash, Granite Counters, Hardwoods, Tile, New Sink, and Windows.  Everyone will love your kitchen. Great location, just minutes to Downtown Nashville. 2 Car Covered Carports, New Bath, Fresh Paint, New Lighting Ceiling Fans.  2 Storage buildings.","FOR_SALE","36.259773","960","-86.68889","https://photos.zillowstatic.com/fp/34ba3c38ca97e882ad89fa265903942c-p_f.jpg","https://photos.zillowstatic.com/fp/af1c8da857aaa5882e66b66145663fbd-p_f.jpg","https://photos.zillowstatic.com/fp/e05635a73461e6a00b0fe78095c006fb-p_f.jpg","https://photos.zillowstatic.com/fp/00c23e40f255c1e4547f57f4ac2ba991-p_f.jpg","https://photos.zillowstatic.com/fp/77ab7f94f41d2284811b8618f5f62f78-p_f.jpg","https://photos.zillowstatic.com/fp/55bc8c926bee337d41968b9608cdb32f-p_f.jpg","https://photos.zillowstatic.com/fp/a9b2c5bdc3084f969027a0e9a9c06ee8-p_f.jpg","https://photos.zillowstatic.com/fp/bd064f944cdd8c874f48d0777920fce8-p_f.jpg","https://photos.zillowstatic.com/fp/04122052558996f8bd0a9d7807c34dfb-p_f.jpg","https://photos.zillowstatic.com/fp/85b066735eb1df2c95c42ce2770b934e-p_f.jpg","https://photos.zillowstatic.com/fp/2bc5e3c611744e678cd4b9960b5316ba-p_f.jpg","https://photos.zillowstatic.com/fp/d4b4a867ddab26bd1df71d7cede00666-p_f.jpg","https://photos.zillowstatic.com/fp/1d3f521cc9cdd7032d882a14fc2e2ab0-p_f.jpg","https://photos.zillowstatic.com/fp/534482f2e2f272a4049bfd8f4b84d4ea-p_f.jpg","https://photos.zillowstatic.com/fp/b302f3de8c94f71cc67387644e9ab244-p_f.jpg","https://photos.zillowstatic.com/fp/0c318415ea4131a66a4cc0b22e37280c-p_f.jpg","https://photos.zillowstatic.com/fp/a89dc5243c0adf345862a06ac85e7bf7-p_f.jpg","https://photos.zillowstatic.com/fp/586e1084ccb9b9a8c642541703ede9c9-p_f.jpg","https://photos.zillowstatic.com/fp/6321be565407b3186cb986fa75b9598a-p_f.jpg","https://photos.zillowstatic.com/fp/06c3c90160cb1a51863cb56136c053c3-p_f.jpg","https://photos.zillowstatic.com/fp/de87687c03ac2abd4e7ff674b5923af0-p_f.jpg","https://photos.zillowstatic.com/fp/c2d75c6ed2e1261bfb2a17be0b3c7726-p_f.jpg","https://photos.zillowstatic.com/fp/cd1067dc701da39a9e6fbb1ff81e694c-p_f.jpg","https://photos.zillowstatic.com/fp/de09ff2ec94d076073e145e0ba161768-p_f.jpg","https://photos.zillowstatic.com/fp/600e7048c89515a83b917685cb2db90b-p_f.jpg","https://photos.zillowstatic.com/fp/38a394da1e1cb9c62326e2880037bd43-p_f.jpg","https://photos.zillowstatic.com/fp/c5b3446187c423df09ead2b28bbff8d4-p_f.jpg","https://photos.zillowstatic.com/fp/8bf5058c6a54afec4781c17088631ce8-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"280000","https://www.zillow.com/homedetails/310-Farris-Ave-Madison-TN-37115/41060375_zpid/","1958"
"Nashville",,,"TN","1607 Branch St #B",,"37216","3","33","USD","Tired of cookie cutter? Look no further! Brand new construction by reputable builder, top notch finishes, one car attached garage, incredible location near S Inglewood Park and Community Center, and everything East Nashville has to offer! Thoughtful, designer touches throughout... upgraded Jenn-Air stainless appliance package (fridge included), custom tile, custom trim, quartz throughout. There are two homes available - flipped floor plan, different colors and finishes but same level of design and quality.","FOR_SALE","36.195934","1742","-86.72557","https://photos.zillowstatic.com/fp/fe1d8bd125aea8ab75f76a2fb940f064-p_f.jpg","https://photos.zillowstatic.com/fp/3d7ed8192291dcb69f05992d84b6ebe1-p_f.jpg","https://photos.zillowstatic.com/fp/891e882d41ee993fd18ec79abce0fe20-p_f.jpg","https://photos.zillowstatic.com/fp/9f8159dedf9e863b5d18ea37af67c39c-p_f.jpg","https://photos.zillowstatic.com/fp/93a58ad9b79fed21698dea110a153c99-p_f.jpg","https://photos.zillowstatic.com/fp/eee2636b95828ffb0e563e6faa226976-p_f.jpg","https://photos.zillowstatic.com/fp/9dee4f368b3ed02562be316a462d15c7-p_f.jpg","https://photos.zillowstatic.com/fp/8fe5b1d2fafd00891164683120b73f80-p_f.jpg","https://photos.zillowstatic.com/fp/b2b040fa43683316e133a0a146e505dd-p_f.jpg","https://photos.zillowstatic.com/fp/dfbb280829ebec2a3aea2254cb945432-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"549900","https://www.zillow.com/homedetails/1607-Branch-St-B-Nashville-TN-37216/2067076125_zpid/","2021"
"Nashville",,,"TN","6666 Brookmont Ter APT 307",,"37205","2","2","USD","Incredible views of the city can be seen from this gorgeous condo.North corner condo so larger than most. Remodeled kitchen & master bath. Secure building w/doorman,salt water pool,fitness room,saunas,tennis courts and convenient to shopping & restaurants.","FOR_SALE","36.08525","1523","-86.89613","https://photos.zillowstatic.com/fp/fdd4f142ac8690eb221947a20e7c25bf-p_f.jpg","https://photos.zillowstatic.com/fp/22682aea063ee1d53caa06627962bca2-p_f.jpg","https://photos.zillowstatic.com/fp/395fd42698e5059f978acfdf72eeeaf5-p_f.jpg","https://photos.zillowstatic.com/fp/1304fcf455b0a8c0d1b4ec68e30724e3-p_f.jpg","https://photos.zillowstatic.com/fp/c038e9a4289a5fc5492fadaf52ab778d-p_f.jpg","https://photos.zillowstatic.com/fp/d3968b1c0fcf3082980c6f53d3c99ad8-p_f.jpg","https://photos.zillowstatic.com/fp/08edaea44fa59397bfe4287841632804-p_f.jpg","https://photos.zillowstatic.com/fp/528d6e69c602100ac5dc71b7d3b55468-p_f.jpg","https://photos.zillowstatic.com/fp/e7d6aa86e165f81682275ea3290a32a3-p_f.jpg","https://photos.zillowstatic.com/fp/ce12fd120d7089f81f21465fcffe3255-p_f.jpg","https://photos.zillowstatic.com/fp/1d19a8ddaab5ca890daeb750668dbac4-p_f.jpg","https://photos.zillowstatic.com/fp/d145e9e1ff6d4e1b471f31395ed34e20-p_f.jpg","https://photos.zillowstatic.com/fp/4cc55fe4b472b5b897fdaa383e19282d-p_f.jpg","https://photos.zillowstatic.com/fp/726ff5ba4384e4a471d690626e1ccb62-p_f.jpg","https://photos.zillowstatic.com/fp/b7558a598f3c2d4fc27da875065fa25d-p_f.jpg","https://photos.zillowstatic.com/fp/36b24d5a56153263ecef18842fba7742-p_f.jpg","https://photos.zillowstatic.com/fp/eb5588bd8754faaf74f607f53146dd80-p_f.jpg","https://photos.zillowstatic.com/fp/70a0ddec8e814d08c57178ade2223ab0-p_f.jpg","https://photos.zillowstatic.com/fp/d85b8ca309355a965703c005f3b3538f-p_f.jpg","https://photos.zillowstatic.com/fp/41c2ded37e300d15ba34bf40052b6eb5-p_f.jpg","https://photos.zillowstatic.com/fp/77501513116420a062f96778ee837619-p_f.jpg","https://photos.zillowstatic.com/fp/76a85965ac06d79e317290d5b33a15b5-p_f.jpg","https://photos.zillowstatic.com/fp/9002ae250ae540e44665a2cc1a5f2563-p_f.jpg","https://photos.zillowstatic.com/fp/a9c158aee05fbe7356c753998a02c4f2-p_f.jpg","https://photos.zillowstatic.com/fp/3062ab10d993635081d7615ff7326e3f-p_f.jpg","https://photos.zillowstatic.com/fp/f0ad9ce52f3ad38aa3a41b17a48efc95-p_f.jpg","https://photos.zillowstatic.com/fp/620101a451e140970bfb6b27c766d8cc-p_f.jpg","https://photos.zillowstatic.com/fp/1e3d048f61343fcbcc8f4930bf625b15-p_f.jpg","https://photos.zillowstatic.com/fp/5dff2245a85e06448d288ac01a66d0d0-p_f.jpg","https://photos.zillowstatic.com/fp/78f5c8b342530a22bd31e35dd555d94d-p_f.jpg","https://photos.zillowstatic.com/fp/6208a3e5c44210b94768c89c0fdab145-p_f.jpg","https://photos.zillowstatic.com/fp/6f626e385642ade58e969a46c44d7b8c-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"375000","https://www.zillow.com/homedetails/6666-Brookmont-Ter-APT-307-Nashville-TN-37205/59879353_zpid/","1973"
"Antioch",,,"TN","5588 Hickory Park Dr",,"37013","2","3","USD","Charming one level move-in-ready home with 3 bedrooms & 2 baths.  Open floor plan with vaulted ceilings in the living room and a cozy fireplace.  The large kitchen offers an abundance of cabinets for storage and a separate pantry.  The owner's suite has trey ceilings, a walk-in closet and double vanities in the bathroom.  A large foyer welcomes you with a separate laundry room and access to the zoned guest bedrooms.  2 car garage and a fenced in backyard with a patio for entertaining.   NEW HVAC UNIT!!!  Located just minutes from downtown Nashville, Nashville International Airport, shopping, and dining!  Mill Creek Greenway located across the street for easy access to a casual stroll through nature.  MUST SEE!!!","FOR_SALE","36.034206","1320","-86.67136","https://photos.zillowstatic.com/fp/e1b6c9b97346faeed7e888cc4d4c3b06-p_f.jpg","https://photos.zillowstatic.com/fp/482712684afe456dee64cc4a7201c017-p_f.jpg","https://photos.zillowstatic.com/fp/3a2fe22d92daa426fef8d5949a879d5b-p_f.jpg","https://photos.zillowstatic.com/fp/0236ae571009397b41767153445b8c28-p_f.jpg","https://photos.zillowstatic.com/fp/1a2abbd5619e7344470d8f0ee58a2dd0-p_f.jpg","https://photos.zillowstatic.com/fp/7610353130420d93da818ff8603304e0-p_f.jpg","https://photos.zillowstatic.com/fp/4035fbc6b01c8907fa23241af28e5ee7-p_f.jpg","https://photos.zillowstatic.com/fp/01418376655796dfcc5103dca52b81f5-p_f.jpg","https://photos.zillowstatic.com/fp/d37e27f93b15327b32b85e6a35a30f8c-p_f.jpg","https://photos.zillowstatic.com/fp/928547198ed9443d0d095d787a9b5acb-p_f.jpg","https://photos.zillowstatic.com/fp/7433848601412a937868aecc0dd7fa65-p_f.jpg","https://photos.zillowstatic.com/fp/bbc274bbc2142f349cc568c06fffe7cb-p_f.jpg","https://photos.zillowstatic.com/fp/11b6c2b1d4f1248e00f1afa8c3dfea19-p_f.jpg","https://photos.zillowstatic.com/fp/5509a63e744f1a91b839a1857abf53c6-p_f.jpg","https://photos.zillowstatic.com/fp/fd9f603d26b65d30c625b484f4ea2c41-p_f.jpg","https://photos.zillowstatic.com/fp/0835a67f61b970a6553b75ca8e805245-p_f.jpg","https://photos.zillowstatic.com/fp/c2167c8cc5a17bad53a9fd8d5262d44d-p_f.jpg","https://photos.zillowstatic.com/fp/64b674913ff0cea0b0f34ef54c04ad4d-p_f.jpg","https://photos.zillowstatic.com/fp/57b42f5145c1a480c7549b62217c5cb0-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"327900","https://www.zillow.com/homedetails/5588-Hickory-Park-Dr-Antioch-TN-37013/108770581_zpid/","2008"
"Nashville",,,"TN","312 Woodlark Ct",,"37214","3","3","USD","Don't miss the chance to own this great townhome.  3 bedrooms, 2.5 bathrooms, fireplace, fenced yard, and at the end of a cul-de-sac.  No HOA Renting permitted.  This home is located less than 10 minutes to I40, Percy Priest Lake, and Elm Hill Marina and 20 minutes to downtown Nashville.  Roof only 3 yrs old.  Professional Picture coming soon!  Showings will start Sunday Dec 19 at 2pm.","FOR_SALE","36.129375","1596","-86.63863","https://photos.zillowstatic.com/fp/ebab4db444934aa9df2b3ff97d03aac8-p_f.jpg","https://photos.zillowstatic.com/fp/869795b7fb57e188c054af1540bbda47-p_f.jpg","https://photos.zillowstatic.com/fp/ce7bfa52f0687b47c95ed0b01c9cdeb9-p_f.jpg","https://photos.zillowstatic.com/fp/5093657fbe4096a02a6779b380e87d2b-p_f.jpg","https://photos.zillowstatic.com/fp/284c48b664f2fc823f4868dbda1cf138-p_f.jpg","https://photos.zillowstatic.com/fp/b5af731895c93f0bf29731fdf3e7aa0e-p_f.jpg","https://photos.zillowstatic.com/fp/35250b8ec9718620202946fdee20f74a-p_f.jpg","https://photos.zillowstatic.com/fp/181d649698398d67d321644c7b748840-p_f.jpg","https://photos.zillowstatic.com/fp/ed5e46d9fb75f74483881c9d7dbcbc1d-p_f.jpg","https://photos.zillowstatic.com/fp/10353ddc8a1559f82b4e4e65c901b383-p_f.jpg","https://photos.zillowstatic.com/fp/24beba6b06afe519f521349ee5dd9b02-p_f.jpg","https://photos.zillowstatic.com/fp/dd50f4739bdf2ac241d82b8ad9dd5006-p_f.jpg","https://photos.zillowstatic.com/fp/babdeb4e6d15bfb818ed220366316684-p_f.jpg","https://photos.zillowstatic.com/fp/3a3252a1fd6fd58f956498d59dfa710f-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"249900","https://www.zillow.com/homedetails/312-Woodlark-Ct-Nashville-TN-37214/41137775_zpid/","1985"
"Nashville",,,"TN","7715-7715C Sawyer Brown Rd",,"37221","3","4","USD","CUSTOM BUILD ON WOODED LOT IN THE HEART OF IT ALL- LUXURIOUS PRIMARY SUITE-VERY MODERN INTERIOR WITH LOTS OF OPEN SPACES- ONE LEVEL LIVING WITH ADDITONAL GUEST QUARTERS  ON LOWER LEVEL TO INCLUDE OFFICE AND MOVIE THEATRE - GREAT BACK YARD WITH ROOM FOR THE PERFECT POOL- NO HOA- MUST SEE","FOR_SALE","36.064632","4592","-86.94596","https://photos.zillowstatic.com/fp/987a5c290b24e50d2162a115ea67f209-p_f.jpg","https://photos.zillowstatic.com/fp/e2d3d4c5b451442196f0d85c9e19dc94-p_f.jpg","https://photos.zillowstatic.com/fp/1a3ae49a5b1d532426a704a224d2cfa1-p_f.jpg","https://photos.zillowstatic.com/fp/35e2d77e84a020d10879292591d56f11-p_f.jpg","https://photos.zillowstatic.com/fp/a47ebf5835814836c9f1edb2fc090dbf-p_f.jpg","https://photos.zillowstatic.com/fp/fde5582e36953d1936badcb20e8cad80-p_f.jpg","https://photos.zillowstatic.com/fp/f81780e0bbe23afa5c204d54bb3daf62-p_f.jpg","https://photos.zillowstatic.com/fp/18896a4987553f293fd24c2d2dd312e1-p_f.jpg","https://photos.zillowstatic.com/fp/65d2d3eacbc42679f587b9c71a556f7d-p_f.jpg","https://photos.zillowstatic.com/fp/9c8af4a1a64954af3feb8fffada7faf9-p_f.jpg","https://photos.zillowstatic.com/fp/438a834c231968ccf47221e9e3411151-p_f.jpg","https://photos.zillowstatic.com/fp/bcaa31f51204a3502a19f1caeb784654-p_f.jpg","https://photos.zillowstatic.com/fp/f6b7f7070896cdfb9f4c90e6521d6dba-p_f.jpg","https://photos.zillowstatic.com/fp/d5dce546cfffeed42d4f90bc6680086d-p_f.jpg","https://photos.zillowstatic.com/fp/f58e3c02e2faa8baae364b2d549cb9b7-p_f.jpg","https://photos.zillowstatic.com/fp/2d95d5dce23d475b5b5a77533f670e9a-p_f.jpg","https://photos.zillowstatic.com/fp/67622a7f29a5a3fa3f509e7f3a784901-p_f.jpg","https://photos.zillowstatic.com/fp/1ca8672b15d4cc78a5d825f0e711fc44-p_f.jpg","https://photos.zillowstatic.com/fp/51f96f1396d99242b82f01e7eff88c72-p_f.jpg","https://photos.zillowstatic.com/fp/a8d86c1b958f1cda7117650eed97121a-p_f.jpg","https://photos.zillowstatic.com/fp/91dbb723884e5c4f4040a751eb3e446a-p_f.jpg","https://photos.zillowstatic.com/fp/b1202424c7372b55bf3e23cc29b7eb33-p_f.jpg","https://photos.zillowstatic.com/fp/4e01966d0efea6774477d5a6af6d98d5-p_f.jpg","https://photos.zillowstatic.com/fp/8b081b76f0dc42ea4cda51b30506ab2a-p_f.jpg","https://photos.zillowstatic.com/fp/fd7d54459c58ae34a3f8d80f1c0920e4-p_f.jpg","https://photos.zillowstatic.com/fp/cafb7a1ec51f8a9ff9a4fdfdbe1f4090-p_f.jpg","https://photos.zillowstatic.com/fp/c46ff0b882b4c3f690a9c22e2eaa19dc-p_f.jpg","https://photos.zillowstatic.com/fp/3d9ec1cc1fce6c1422fa48092c71611e-p_f.jpg","https://photos.zillowstatic.com/fp/9bc957a44a0a797cedcb3d57759fa111-p_f.jpg","https://photos.zillowstatic.com/fp/61f6fb336395df553796d693f450e95f-p_f.jpg","https://photos.zillowstatic.com/fp/653f145fa3e79674dde65f817513f5c7-p_f.jpg","https://photos.zillowstatic.com/fp/9f3b424d1ed7cb8666bbcd20e91fa93c-p_f.jpg","https://photos.zillowstatic.com/fp/61224080ac9b677c2ed9bb2d6004dc17-p_f.jpg","https://photos.zillowstatic.com/fp/4721e38b31baebcee89887a5613e65b8-p_f.jpg","https://photos.zillowstatic.com/fp/c252d7c333b74d965e4ffac35686f8e6-p_f.jpg","https://photos.zillowstatic.com/fp/360eaa8efbc3eaddf8efb421707a4da7-p_f.jpg","https://photos.zillowstatic.com/fp/6b976eaf2967cd753882c5efa48cac3c-p_f.jpg","https://photos.zillowstatic.com/fp/e8bdf5cd169de6d67262f3b7e1c8b85f-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,"1450000","https://www.zillow.com/homedetails/7715-7715C-Sawyer-Brown-Rd-Nashville-TN-37221/2067068759_zpid/","2018"
"Nashville",,,"TN","2116 Herman St",,"37208","2","4","USD","Excellent Rehab Opportunity . Awesome view of downtown Nashville from the front porch! This cinder block structure has renovation potential! Walk-Out Basement. House is surrounded by new high-end luxury homes and condos. Walk or cycle to downtown. WeGo Public Transit passes in front of the house, 2 min drive ti I-40, I-440, I-65 & Briley Pkwy, 2 min walk to Nashville General Hospital/Meharry Medical College, 7 minute drive to  Vanderbilt campus. SOLD AS IS. Please confirm square feet for yourself.","FOR_SALE","36.16279","1392","-86.80919","https://photos.zillowstatic.com/fp/81fccb4b679ee209f8c7c06c9c44c0c6-p_f.jpg","https://photos.zillowstatic.com/fp/317c6d018d7c99a6cad3692032764bbf-p_f.jpg","https://photos.zillowstatic.com/fp/6d42553a4223aa5eed30fb926cc80111-p_f.jpg","https://photos.zillowstatic.com/fp/c4f3359d274e7daf7e1dabbe4822d405-p_f.jpg","https://photos.zillowstatic.com/fp/7bac7c92840851b2c17f2da61e67a271-p_f.jpg","https://photos.zillowstatic.com/fp/7ef2cd3586af6d8f7169ad89ccae6236-p_f.jpg","https://photos.zillowstatic.com/fp/42a8a871a95520d61f922e973794c573-p_f.jpg","https://photos.zillowstatic.com/fp/b597e2e2479ca84de5c132286999ee10-p_f.jpg","https://photos.zillowstatic.com/fp/db926613cef2d1f8c624b4b24a3b5df9-p_f.jpg","https://photos.zillowstatic.com/fp/a4a71634e93067982407ee85f19d7e5c-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"255900","https://www.zillow.com/homedetails/2116-Herman-St-Nashville-TN-37208/41116321_zpid/","1950"
"Nashville",,,"TN","103 Garwood Dr",,"37210","1","3","USD","Home just minutes from Downtown Nashville *Investment property *cash only* New windows, all brick one level home, can turn bonus room into a fourth bedroom.","FOR_SALE","36.123325","1415","-86.73034","https://photos.zillowstatic.com/fp/8005023363be01c4e1f328fcbf497828-p_f.jpg","https://photos.zillowstatic.com/fp/095e34545ac86aa684df0ef995964077-p_f.jpg","https://photos.zillowstatic.com/fp/9d6aa9a3d1ccec41d457f0ce61b3c627-p_f.jpg","https://photos.zillowstatic.com/fp/bd3758f33b5ade6b218de16aaa7d123f-p_f.jpg","https://photos.zillowstatic.com/fp/032288170c28dfc42568ba80e8a1e009-p_f.jpg","https://photos.zillowstatic.com/fp/cfcdd3bec5314283735f6af223c83afe-p_f.jpg","https://photos.zillowstatic.com/fp/30d04614aaf2e39c8dd29eb9b3d714cc-p_f.jpg","https://photos.zillowstatic.com/fp/f063714babbb4f8ac59b3b59c48980e1-p_f.jpg","https://photos.zillowstatic.com/fp/dac8407851eb7b42de304d43a384b536-p_f.jpg","https://photos.zillowstatic.com/fp/81ec6a70d1ea1b8aa5b66cb6762ba35d-p_f.jpg","https://photos.zillowstatic.com/fp/1b7f3c27680c369c4470ca7e80fd123b-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300000","https://www.zillow.com/homedetails/103-Garwood-Dr-Nashville-TN-37210/41148596_zpid/","1956"
