Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"3353 Mimosa Dr, Nashville, TN 37211","$312,500",4,2,"1,328",Sold 12/17/2021
"3528 Paragon Dr, Nashville, TN 37211","$580,000",4,3,"2,391",Sold 12/17/2021
,,,,,
"117 Jonesboro Ct, Nashville, TN 37214","$349,900",3,2,"1,692",Sold 12/17/2021
"429 Southwood Dr, Nashville, TN 37217","$385,675",3,3,"1,538",Sold 12/17/2021
"301 Demonbreun St UNIT 1417, Nashville, TN 37201","$460,000",1,1,842,Sold 12/17/2021
"2614 Sterling Boone Dr, Nashville, TN 37210","$282,270",2,1,801,Sold 12/17/2021
"301 Demonbreun St UNIT 1917, Nashville, TN 37201","$467,000",1,1,842,Sold 12/17/2021
"103 Lewis St, Nashville, TN 37210","$470,000",3,3,"1,856",Sold 12/16/2021
"1424-1424B Electric Ave, Nashville, TN 37206","$775,000",4,3,"2,257",Sold 12/15/2021
"801 Winthorne Ct, Nashville, TN 37217","$420,000",3,3,"1,800",Sold 12/09/2021
"418 Dennywood Dr, Nashville, TN 37214","$205,000",2,1,847,Sold 12/08/2021
"2236 Weona Dr, Nashville, TN 37214","$465,000",4,2,"1,728",Sold 12/08/2021
"4112 Partner Way, Nashville, TN 37211","$280,000",3,2,"1,131",Sold 12/08/2021
"3407 Springbrook Dr, Nashville, TN 37204","$510,000",2,1,967,Sold 12/07/2021
"3400 Woodhaven Dr, Nashville, TN 37204","$543,000",3,1,"1,363",Sold 12/07/2021
"170 Antioch Pike, Nashville, TN 37211","$270,700",2,1,"1,537",Sold 12/07/2021
"602 Spence Enclave Way, Nashville, TN 37210","$292,000",3,2,"1,479",Sold 12/07/2021
"1135 Ransom Way, Nashville, TN 37217","$250,000",2,3,"1,216",Sold 12/07/2021
"509 Cottonwood Dr, Nashville, TN 37214","$335,000",3,2,"1,250",Sold 11/30/2021
"1705 Eastland Ave, Nashville, TN 37206","$974,999",3,3,"3,043",Sold 11/30/2021
"2808 Saint Edwards Dr, Nashville, TN 37211","$339,900",2,2,960,Sold 11/30/2021
"212 Nunley Dr, Nashville, TN 37211","$375,000",3,2,"1,609",Sold 11/30/2021
"301 Demonbreun St UNIT 1717, Nashville, TN 37201","$389,900",1,1,842,Sold 11/30/2021
"415 Church St APT 1112, Nashville, TN 37219","$35,400",2,2,"1,083",Sold 11/29/2021
"2241-2241B Kline Ave, Nashville, TN 37211","$425,000",3,4,"1,648",Sold 11/29/2021
"16 Jay St, Nashville, TN 37210","$237,500",2,1,754,Sold 11/29/2021
"2006-2006A Hutton Dr, Nashville, TN 37210","$610,000",3,4,"2,265",Sold 11/29/2021
"2715 Wellman Dr, Nashville, TN 37214","$309,000",3,2,"1,328",Sold 11/19/2021
"301 Demonbreun St UNIT 811, Nashville, TN 37201","$375,000",1,1,714,Sold 11/19/2021
"932 Riverside Dr, Nashville, TN 37206","$242,400",2,1,806,Sold 11/19/2021
"1924 Karen Dr, Nashville, TN 37217","$260,000",4,2,"1,423",Sold 11/19/2021
"2713 Druid Dr, Nashville, TN 37210","$300,000",3,2,"2,232",Sold 11/19/2021
"728 Glenn Ct, Nashville, TN 37217","$379,900",3,2,"1,501",Sold 11/19/2021
"222-222B Peachtree St, Nashville, TN 37210","$585,000",3,3,"1,950",Sold 11/18/2021
"1609 Marshall Hollow Dr #103, Nashville, TN 37203","$300,000",1,1,716,Sold 11/18/2021
"902 Mitchell Rd, Nashville, TN 37206","$470,000",3,3,"1,644",Sold 11/18/2021
"702 Wedgewood Park APT 505, Nashville, TN 37203","$390,000",2,2,"1,272",Sold 11/10/2021
"921 Deervale Dr, Nashville, TN 37217","$450,000",4,2,"2,543",Sold 11/09/2021
"906 Marina St, Nashville, TN 37206","$715,000",3,4,"2,291",Sold 11/09/2021
"301 Demonbreun St UNIT 1909, Nashville, TN 37201","$400,000",1,1,802,Sold 11/09/2021
"3006 Delaney Dr, Nashville, TN 37214","$370,100",2,2,"1,542",Sold 11/08/2021
"3314 Dumas Dr, Nashville, TN 37211","$469,000",4,2,"1,447",Sold 11/08/2021
"2209 Sandra Dr, Nashville, TN 37210","$340,000",3,1,912,Sold 11/08/2021
"801 Inverness Ave APT C5, Nashville, TN 37204","$205,000",1,1,650,Sold 11/06/2021
"204 Disspayne Dr, Nashville, TN 37214","$620,000",5,4,"3,584",Sold 11/05/2021
"1703 Woodland St, Nashville, TN 37206","$799,000",3,2,"2,086",Sold 10/30/2021
"810 Glen Ave, Nashville, TN 37204","$699,000",4,3,"2,168",Sold 10/29/2021
"1005 Davidson St, Nashville, TN 37206","$269,000",2,1,814,Sold 10/29/2021
"1605 Woodland St, Nashville, TN 37206","$925,000",4,3,"2,900",Sold 10/29/2021
"1711 Eastside Ave, Nashville, TN 37206","$462,000",2,2,"1,008",Sold 10/29/2021
"415 Church St APT 1404, Nashville, TN 37219","$371,500",1,1,732,Sold 10/29/2021
"415 Church St APT 2105, Nashville, TN 37219","$355,000",1,1,718,Sold 10/29/2021
"301 Demonbreun St UNIT 1903, Nashville, TN 37201","$868,000",2,2,"1,080",Sold 10/29/2021
"40 Hubbard Aly, Nashville, TN 37210","$505,000",3,3,"2,157",Sold 10/29/2021
"1312 Saturn Dr, Nashville, TN 37217","$275,000",3,2,"1,050",Sold 10/21/2021
"415 Church St APT 2809, Nashville, TN 37219","$349,900",1,1,634,Sold 10/21/2021
"306 Vivelle Ave, Nashville, TN 37210","$390,000",3,2,996,Sold 10/20/2021
"425 Hollydale Dr, Nashville, TN 37217","$361,000",4,3,"2,582",Sold 10/20/2021
"1889 Olive Cir, Nashville, TN 37217","$345,000",3,2,"1,659",Sold 10/20/2021
"1903 Louanne Dr, Nashville, TN 37217","$200,250",3,1,950,Sold 10/20/2021
"410 Rosedale Ave APT 210, Nashville, TN 37211","$206,307",1,1,675,Sold 10/20/2021
"106 Myrtle St #D, Nashville, TN 37206","$629,900",4,4,"1,913",Sold 10/19/2021
"1100-1100B Matthews Pl, Nashville, TN 37206","$624,900",3,3,"2,383",Sold 10/19/2021
"2660 Barclay Dr #B, Nashville, TN 37206","$699,900",4,3,"2,613",Sold 10/13/2021
"2000-2000B Hutton Dr, Nashville, TN 37210","$535,000",3,3,"1,944",Sold 10/13/2021
"820 Lischey Ave, Nashville, TN 37207","$439,900",3,2,"1,231",Sold 10/13/2021
"1009 W Eastland Ave, Nashville, TN 37206","$879,900",4,4,"3,116",Sold 10/13/2021
"2122 Bransford Ave, Nashville, TN 37204","$420,000",--,--,"1,216",Sold 10/13/2021
"485 Cathy Jo Cir, Nashville, TN 37211","$395,000",3,3,"1,681",Sold 10/13/2021
"1306 Pillow St #A, Nashville, TN 37203","$575,000",3,3,"1,504",Sold 10/13/2021
"1100 Matthews Pl #A, Nashville, TN 37206","$640,000",3,3,"2,376",Sold 10/13/2021
"43-43B Wharf Ave #B, Nashville, TN 37210","$189,000",1,1,522,Sold 10/12/2021
"2753 Windemere Dr, Nashville, TN 37214","$625,000",4,3,"3,232",Sold 10/06/2021
"2150-2150A Oakland St, Nashville, TN 37210","$505,000",3,3,"2,023",Sold 10/05/2021
"2309 Aubrey Dr, Nashville, TN 37214","$245,000",2,1,"1,233",Sold 10/05/2021
"315 Glenrose Ave, Nashville, TN 37210","$440,000",3,3,"1,826",Sold 10/05/2021
"114 Five Oaks Dr, Nashville, TN 37217","$207,000",2,2,"1,280",Sold 10/04/2021
"800 Woodland St APT 307, Nashville, TN 37206","$295,000",Studio,1,916,Sold 10/04/2021
"202 McCall St, Nashville, TN 37211","$635,000",4,3,"2,392",Sold 10/04/2021
"818 Patricia Dr, Nashville, TN 37217","$360,000",3,3,"2,050",Sold 10/04/2021
