Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"1212 Laurel St APT 1708, Nashville, TN 37203","$625,000",1,1,888,Sold 12/18/2021
"5725 Clarksville Pike, Joelton, TN 37080","$231,900",3,1,"1,019",Sold 12/18/2021
,,,,,
"1117 Woodbury Falls Ct, Nashville, TN 37221","$375,500",2,4,"2,005",Sold 12/18/2021
"2359 Patrick Ave, Old Hickory, TN 37138","$309,900",3,3,"1,452",Sold 12/17/2021
"937 S Douglas Ave, Nashville, TN 37204","$810,000",4,1,"1,858",Sold 12/17/2021
"553 Singer Dr, Madison, TN 37115","$364,500",4,2,"1,700",Sold 12/17/2021
"3206 Leawood Dr, Nashville, TN 37218","$207,500",3,1,972,Sold 12/17/2021
"3044 Lakeshore Dr, Old Hickory, TN 37138","$748,150",4,4,"3,712",Sold 12/17/2021
"117 Postwood Pl, Nashville, TN 37205","$727,500",4,4,"3,814",Sold 12/17/2021
"3800 Dakota Ave, Nashville, TN 37209","$952,000",3,3,"2,473",Sold 12/17/2021
"7601 Gunners Landing Dr, Antioch, TN 37013","$338,735",4,3,"1,821",Sold 12/17/2021
"2311 Ilolo St, Nashville, TN 37207","$539,900",3,3,"1,936",Sold 12/17/2021
"2200 Pennington Ave, Nashville, TN 37216","$619,900",3,4,"2,050",Sold 12/17/2021
"2204 Pennington Ave, Nashville, TN 37216","$609,900",3,4,"2,189",Sold 12/17/2021
"7607 Gunners Landing Dr, Antioch, TN 37013","$344,610",4,3,"1,927",Sold 12/17/2021
"223 Hearthstone Manor Ln #223, Brentwood, TN 37027","$457,900",3,3,"2,083",Sold 12/17/2021
"1905-1905B Formosa St, Nashville, TN 37208","$510,000",3,3,"1,851",Sold 12/17/2021
"4009 Elkins Aly, Nashville, TN 37209","$656,000",3,3,"2,117",Sold 12/17/2021
"3841 Whitland Ave, Nashville, TN 37205","$355,000",2,2,"1,100",Sold 12/17/2021
"599 Hill Creek Dr, Nashville, TN 37211","$465,000",4,2,"1,771",Sold 12/17/2021
"172 Jefferson Sq, Nashville, TN 37215","$476,000",3,3,"2,223",Sold 12/17/2021
"105 Harrow Ct #B, Nashville, TN 37221","$265,500",3,2,"1,170",Sold 12/17/2021
"1330 Scarcroft Ln, Nashville, TN 37221","$499,951",4,3,"2,404",Sold 12/17/2021
"7332 Campton Rd, Nashville, TN 37211","$456,857",3,2,"2,384",Sold 12/17/2021
"426 Hadleys Bend Blvd, Old Hickory, TN 37138","$240,000",3,2,"1,114",Sold 12/17/2021
"425 Emmitt Ave, Madison, TN 37115","$207,500",1,1,"1,650",Sold 12/17/2021
"3068 Chateau Valley Dr, Nashville, TN 37207","$329,083",3,2,"1,354",Sold 12/17/2021
