Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"3044 Lakeshore Dr, Old Hickory, TN 37138","$748,150",4,4,"3,712",Sold 12/17/2021
"426 Hadleys Bend Blvd, Old Hickory, TN 37138","$240,000",3,2,"1,114",Sold 12/17/2021
,,,,,
"653 Belgium Dr, Hermitage, TN 37076","$338,116",3,2,"1,300",Sold 12/17/2021
"214 Lexington Way, Hermitage, TN 37076","$469,000",3,3,"3,125",Sold 12/16/2021
"657 Granwood Blvd, Old Hickory, TN 37138","$348,000",3,2,"1,439",Sold 12/16/2021
"735 Tulip Grove Rd APT 249, Hermitage, TN 37076","$245,000",2,2,"1,331",Sold 12/15/2021
"196 Brooke Castle Dr, Hermitage, TN 37076","$175,000",2,2,"1,073",Sold 12/14/2021
"108 30th St, Old Hickory, TN 37138","$215,000",3,2,"1,352",Sold 12/13/2021
"517 Albany Dr, Hermitage, TN 37076","$420,000",5,3,"2,583",Sold 12/13/2021
"824 Heritage Trl, Hermitage, TN 37076","$341,999",--,--,"1,920",Sold 12/10/2021
"735 Tulip Grove Rd APT 100, Hermitage, TN 37076","$337,500",3,3,"2,030",Sold 12/10/2021
"8310 Luree Ln, Hermitage, TN 37076","$339,900",3,1,"1,445",Sold 12/08/2021
"2083 Remington Park Rd, Old Hickory, TN 37138","$485,000",4,3,"2,666",Sold 12/07/2021
"4907 Teton Dr, Old Hickory, TN 37138","$390,000",3,2,"2,108",Sold 12/03/2021
"4834 Rainer Dr, Old Hickory, TN 37138","$479,900",3,2,"2,905",Sold 12/03/2021
"909 Cointreau Dr, Hermitage, TN 37076","$345,000",3,2,"1,988",Sold 12/01/2021
"105 Clifton Ct, Old Hickory, TN 37138","$277,000",3,1,"1,455",Sold 11/30/2021
"1045 Brookside Woods Blvd, Hermitage, TN 37076","$350,000",3,2,"1,749",Sold 11/30/2021
"7020 Bonnafair Dr, Hermitage, TN 37076","$308,000",3,2,"1,167",Sold 11/30/2021
"620 Sweetwater Cir, Old Hickory, TN 37138","$380,000",3,3,"1,710",Sold 11/30/2021
"4833 Everest Dr, Old Hickory, TN 37138","$401,000",4,3,"2,170",Sold 11/30/2021
"180 Brooke Castle Dr, Hermitage, TN 37076","$224,900",2,2,"1,073",Sold 11/29/2021
"101 Anthony Ave, Old Hickory, TN 37138","$399,000",3,3,"2,136",Sold 11/29/2021
"214 Anthony Ave, Old Hickory, TN 37138","$315,000",2,2,"1,063",Sold 11/23/2021
"640 Des Moines Dr, Hermitage, TN 37076","$355,000",5,3,"2,544",Sold 11/23/2021
"1048 Brookside Woods Blvd, Hermitage, TN 37076","$350,000",3,2,"1,545",Sold 11/23/2021
"2201 Crescent Valley Ln, Hermitage, TN 37076","$375,000",3,2,"1,377",Sold 11/23/2021
"3319 Old Hickory Blvd UNIT 26, Old Hickory, TN 37138","$325,000",3,3,"1,641",Sold 11/22/2021
"620 Frankfort Dr, Hermitage, TN 37076","$341,000",3,2,"1,716",Sold 11/22/2021
"3319 Old Hickory Blvd UNIT 24, Old Hickory, TN 37138","$325,000",3,3,"1,641",Sold 11/19/2021
"3319 Old Hickory Blvd UNIT 23, Old Hickory, TN 37138","$325,000",3,3,"1,641",Sold 11/19/2021
"3319 Old Hickory Blvd UNIT 20, Old Hickory, TN 37138","$325,000",3,3,"1,641",Sold 11/19/2021
"134 Saddle Tree Ct, Hermitage, TN 37076","$262,000",3,2,"1,581",Sold 11/19/2021
"202 Bonnacliff Ct, Hermitage, TN 37076","$359,000",4,2,"1,428",Sold 11/19/2021
"524 Griffin Cir, Hermitage, TN 37076","$320,000",3,3,"1,758",Sold 11/19/2021
"691 Frankfort Dr, Hermitage, TN 37076","$272,000",3,2,"1,131",Sold 11/19/2021
"4231 Woods St, Old Hickory, TN 37138","$240,000",2,2,"1,620",Sold 11/19/2021
"4825 Everest Dr, Old Hickory, TN 37138","$330,000",3,2,"1,408",Sold 11/18/2021
"4817 Big Horn Dr, Old Hickory, TN 37138","$282,000",3,2,"1,325",Sold 11/18/2021
"3909 Plantation Dr, Hermitage, TN 37076","$325,000",4,2,"1,825",Sold 11/17/2021
"4844 Shshone Dr, Old Hickory, TN 37138","$365,600",3,2,"1,740",Sold 11/17/2021
"1135 Lady Nashville Dr, Hermitage, TN 37076","$429,000",4,3,"2,073",Sold 11/17/2021
"567 Tulip Grove Rd, Hermitage, TN 37076","$470,000",4,3,"2,410",Sold 11/17/2021
"634 Debbie Dr, Hermitage, TN 37076","$300,000",3,3,"1,575",Sold 11/16/2021
"500 Scotts Creek Trl, Hermitage, TN 37076","$332,500",3,2,"1,352",Sold 11/16/2021
"311 Pitts Ave, Old Hickory, TN 37138","$310,000",3,2,"1,232",Sold 11/16/2021
"735 Tulip Grove Rd APT 247, Hermitage, TN 37076","$245,000",2,3,"1,308",Sold 11/15/2021
"194 Jacksonian Dr, Hermitage, TN 37076","$220,625",2,2,"1,301",Sold 11/15/2021
"1009 Tabitha Ln, Old Hickory, TN 37138","$700,000",4,3,"3,177",Sold 11/12/2021
"3319 Old Hickory Blvd UNIT 25, Old Hickory, TN 37138","$276,500",3,3,"1,641",Sold 10/22/2021
"721 Jaywood Dr, Old Hickory, TN 37138","$383,000",3,3,"2,007",Sold 10/22/2021
"569 Tulip Grove Rd, Hermitage, TN 37076","$472,285",4,3,"2,410",Sold 10/22/2021
"8139 Bonnafair Dr, Hermitage, TN 37076","$260,000",3,1,978,Sold 10/21/2021
"5003 Bonnalynn Dr, Hermitage, TN 37076","$310,000",4,2,"2,368",Sold 10/21/2021
"684 Frankfort Dr, Hermitage, TN 37076","$276,300",3,1,"1,076",Sold 10/20/2021
